year-month,cumulative_installed_kw,installations_in_month
2001-04,15,12
2001-05,27,12
2001-06,60,19
2001-07,133,7
2001-08,150,10
2001-09,174,18
2001-10,191,10
2001-11,227,19
2001-12,249,13
2002-01,276,17
2002-02,304,19
2002-03,327,14
2002-04,344,15
2002-05,374,19
2002-06,390,16
2002-07,416,16
2002-08,444,19
2002-09,505,27
2002-10,536,21
2002-11,626,36
2002-12,3669,34
2003-01,4689,44
2003-02,4799,34
2003-03,4861,44
2003-04,4887,16
2003-05,4907,15
2003-06,4972,46
2003-07,5067,63
2003-08,5176,83
2003-09,5275,69
2003-10,5404,85
2003-11,5533,92
2003-12,5637,74
2004-01,5695,44
2004-02,5802,92
2004-03,5899,68
2004-04,6019,75
2004-05,6132,84
2004-06,6235,85
2004-07,6326,89
2004-08,6448,102
2004-09,6534,85
2004-10,6685,137
2004-11,6817,120
2004-12,6952,108
2005-01,7089,99
2005-02,7210,118
2005-03,7322,110
2005-04,7511,139
2005-05,7678,137
2005-06,7812,95
2005-07,7966,106
2005-08,8123,107
2005-09,8253,97
2005-10,8438,115
2005-11,8641,142
2005-12,8857,141
2006-01,8956,59
2006-02,9034,57
2006-03,9193,91
2006-04,9324,80
2006-05,9475,97
2006-06,9613,88
2006-07,9751,80
2006-08,9887,86
2006-09,10025,89
2006-10,10216,124
2006-11,10455,138
2006-12,10673,130
2007-01,10835,106
2007-02,11017,118
2007-03,11243,154
2007-04,11452,134
2007-05,11622,122
2007-06,11922,196
2007-07,12376,282
2007-08,12940,363
2007-09,13613,422
2007-10,14529,543
2007-11,15371,522
2007-12,16360,524
2008-01,17245,528
2008-02,18195,645
2008-03,19168,684
2008-04,20506,875
2008-05,21999,1031
2008-06,23329,928
2008-07,24968,1147
2008-08,26584,1177
2008-09,28482,1329
2008-10,30982,1821
2008-11,33395,1769
2008-12,36404,2130
2009-01,39171,2170
2009-02,42959,2990
2009-03,47618,3573
2009-04,52118,3429
2009-05,57440,4082
2009-06,62948,4345
2009-07,69480,5169
2009-08,76850,5724
2009-09,85489,6268
2009-10,96194,7818
2009-11,108944,9279
2009-12,120877,8070
2010-01,132850,8398
2010-02,148606,10295
2010-03,170358,13228
2010-04,193191,13413
2010-05,222029,16687
2010-06,256048,18160
2010-07,290617,16808
2010-08,327889,17390
2010-09,369269,19022
2010-10,414816,21170
2010-11,469600,24984
2010-12,510627,18654
2011-01,568736,25466
2011-02,633317,28850
2011-03,713435,35528
2011-04,789430,33180
2011-05,905392,50290
2011-06,1072738,68868
2011-07,1126843,22220
2011-08,1183439,22127
2011-09,1250771,24875
2011-10,1294695,16669
2011-11,1343094,18080
2011-12,1382878,14596
2012-01,1417397,13018
2012-02,1468337,19562
2012-03,1530652,23632
2012-04,1602025,26554
2012-05,1724065,43478
2012-06,1902991,59213
2012-07,1981783,25778
2012-08,2070036,27993
2012-09,2165742,28422
2012-10,2238756,22609
2012-11,2312482,22506
2012-12,2418657,30563
2013-01,2470192,15004
2013-02,2526083,15489
2013-03,2586495,16142
2013-04,2649506,16741
2013-05,2728683,20144
2013-06,2820021,22223
2013-07,2884275,16765
2013-08,2943519,14961
2013-09,3005633,14889
2013-10,3078236,17316
2013-11,3149314,16966
2013-12,3210817,13753
2014-01,3272060,13770
2014-02,3330304,14118
2014-03,3392661,14265
2014-04,3454135,13501
2014-05,3547595,16192
2014-06,3612334,14418
2014-07,3685404,16264
2014-08,3752247,14780
2014-09,3825070,16579
2014-10,3900574,16813
2014-11,3967479,14159
2014-12,4033114,13533
2015-01,4086486,11467
2015-02,4147990,12877
2015-03,4313448,13169
2015-04,4366983,11074
2015-05,4426549,11630
2015-06,4486660,11787
2015-07,4606017,13111
2015-08,4665824,11624
2015-09,4728008,11780
2015-10,4790049,11486
2015-11,4853420,11243
2015-12,4913190,10306
2016-01,4955652,8216
2016-02,5069226,10968
2016-03,5126381,10653
2016-04,5194575,10292
2016-05,5254119,10694
2016-06,5318162,10073
2016-07,5376138,10137
2016-08,5442233,11471
2016-09,5511037,11317
2016-10,5577114,11063
2016-11,5655739,13446
2016-12,5779660,14449
2017-01,5836052,10136
2017-02,5908988,12998
2017-03,6019463,14247
2017-04,6089800,11661
2017-05,6187638,14690
2017-06,6284361,14072
2017-07,6394298,14622
2017-08,6496239,15860
2017-09,6595345,14691
2017-10,6705605,15891
2017-11,6859780,18380
2017-12,7145439,17825
2018-01,7294587,14335
2018-02,7415916,16652
2018-03,7898226,17736
2018-04,8034820,15907
2018-05,8408984,18262
2018-06,8548366,16451
2018-07,9071584,17958
2018-08,9432401,19402
2018-09,10260730,19086
2018-10,10562321,22150
2018-11,10964265,24924
2018-12,11246416,22343
2019-01,11520064,18608
2019-02,11961828,22956
2019-03,12146140,23384
2019-04,12493800,20843
2019-05,12935681,23051
2019-06,13200072,19138
2019-07,13403550,22722
2019-08,13848491,23330
2019-09,14046065,24791
2019-10,14533496,27795
2019-11,15119803,30119
2019-12,16040616,29453
2020-01,16241859,23515
2020-02,16474598,28249
2020-03,16848997,31353
2020-04,17188316,26613
2020-05,17416437,27978
2020-06,17921555,30230
2020-07,18248179,33775
2020-08,18486072,28495
2020-09,19017420,31456
2020-10,19331753,33045
2020-11,19961693,38775
2020-12,20741291,37088
2021-01,20981778,27211
2021-02,21414624,34358
2021-03,21767429,37222
2021-04,22056129,32562
2021-05,22412310,30465
2021-06,22843199,30833
2021-07,23179983,29355
2021-08,23657704,28924
2021-09,23938042,29880
2021-10,24324338,28803
2021-11,25236582,31628
2021-12,25780258,32367
2022-01,25920903,17209
2022-02,26138026,24338
2022-03,26519707,25986
2022-04,27245552,20962
2022-05,27456516,23037
2022-06,27713832,26612
2022-07,27945593,26198
2022-08,28213079,29921
2022-09,29102782,27450
2022-10,29472746,25757
2022-11,29791640,32839
2022-12,30379099,31603
2023-01,30554817,20590
2023-02,31127971,26763
2023-03,31392809,27671
2023-04,31598948,21770
2023-05,32131911,27499
2023-06,32405684,26040
2023-07,32797785,26872
2023-08,33123803,29232
2023-09,33369490,25103
2023-10,33633995,26792
2023-11,33947931,27515
2023-12,34234091,16089
